Record;City;OtherName;Country;Latitude;Longitude;Certainty;year;pop;cityid
5274;Tehran;Teheran;Iran;35.69439;51.42151;1;1796;15000;Tehran_35.7_51.4
5275;The Hague;s-Gravenhage;Netherlands;52.070492;4.300694;1;1796;37000;The Hague_52.1_4.3
5276;Utrecht;;Netherlands;52.09083;5.12222;1;1796;25000;Utrecht_52.1_5.1
5277;Allahabad;Prayag;India;25.44894;81.83328;1;1797;16000;Allahabad_25.4_81.8
5278;Esfahan;Isfahan;Iran;32.651389;51.679192;1;1797;50000;Esfahan_32.7_51.7
5279;Ferrara;;Italy;44.82678;11.62071;1;1797;30117;Ferrara_44.8_11.6
5280;Granada;;Spain;37.177336;-3.598558;1;1797;52000;Granada_37.2_-3.6
5281;Gwalior;;India;26.22982;78.17337;1;1797;30000;Gwalior_26.2_78.2
5282;Kiev;;Ukraine;50.45466;30.5238;1;1797;19081;Kiev_50.5_30.5
5283;Leipzig;;Germany;51.33962;12.37129;1;1797;31847;Leipzig_51.3_12.4
5284;Limerick;;Ireland;52.6653;-8.630497;1;1797;27000;Limerick_52.7_-8.6
5285;Mannheim;;Germany;49.49671;8.47955;1;1797;21000;Mannheim_49.5_8.5
5286;Naples;;Italy;40.851775;14.268122;1;1797;438000;Naples_40.9_14.3
5287;New Orleans;Louisiana;United States of America;29.95465;-90.07507;1;1797;8056;New Orleans_30_-90.1
5288;Poznan;Posen;Poland;52.40692;16.92993;1;1797;12376;Poznan_52.4_16.9
5289;Seville;;Spain;37.388097;-5.982331;1;1797;96000;Seville_37.4_-6
5290;Zaragoza;;Spain;41.648792;-0.889581;1;1797;55000;Zaragoza_41.6_-0.9
5291;Alexandria;;Egypt;31.200092;29.918739;1;1798;4000;Alexandria_31.2_29.9
5292;Bucharest;;Romania;44.43225;26.10626;1;1798;32185;Bucharest_44.4_26.1
5293;Cairo;Fostat, Fustat;Egypt;30.06263;31.24967;1;1798;186000;Cairo_30.1_31.2
5294;Catania;;Italy;37.50213;15.08719;1;1798;48000;Catania_37.5_15.1
5295;Haarlem;;Netherlands;52.38084;4.63683;1;1798;21227;Haarlem_52.4_4.6
5296;Jaipur;Jeypore;India;26.91962;75.78781;1;1798;77000;Jaipur_26.9_75.8
5297;Kermanshah;;Iran;34.31417;47.065;1;1798;8000;Kermanshah_34.3_47.1
5298;Konigsberg;Kaliningrad, Königsberg ;Germany;54.716667;20.516667;2;1798;49900;Konigsberg_54.7_20.5
5299;Krakow;Cracow;Poland;50.06143;19.93658;1;1798;24543;Krakow_50.1_19.9
5300;Kyoto;;Japan;35.02107;135.75385;1;1798;379274;Kyoto_35_135.8
5301;Leiden;Leyden;Netherlands;52.15833;4.49306;1;1798;30967;Leiden_52.2_4.5
5302;Liege; Liège ;Belgium;50.63373;5.56749;1;1798;39208;Liege_50.6_5.6
5303;Magdeburg;;Germany;52.130808;11.628878;1;1798;37450;Magdeburg_52.1_11.6
5304;Mainz;;Germany;49.98419;8.2791;1;1798;26615;Mainz_50_8.3
5305;Messina;;Italy;38.19327;15.54969;1;1798;37000;Messina_38.2_15.5
5306;Palermo;;Italy;38.115689;13.361267;1;1798;133000;Palermo_38.1_13.4
5307;Tokyo;Yedo, Edo;Japan;35.6895;139.69171;1;1798;685000;Tokyo_35.7_139.7
5308;Valletta;Valetta;Malta;35.89972;14.51472;1;1798;39000;Valletta_35.9_14.5
5309;Aachen;Aix-la-Chapelle;Germany;50.77664;6.08342;1;1799;23699;Aachen_50.8_6.1
5310;Barcelona;;Spain;41.38879;2.15899;1;1799;115000;Barcelona_41.4_2.2
5311;Budapest;;Hungary;47.49801;19.03991;1;1799;54179;Budapest_47.5_19
5312;Fez;Fes;Morocco;34.033333;-5.01;1;1799;70000;Fez_34_-5
5313;Florence;Firenze;Italy;43.771033;11.248;1;1799;58716;Florence_43.8_11.2
5314;Genova;Genoa;Italy;44.40565;8.946256;1;1799;90835;Genova_44.4_8.9
5315;Hiroshima;;Japan;34.396775;132.460017;1;1799;49000;Hiroshima_34.4_132.5
5316;Madrid;;Spain;40.416775;-3.703789;1;1799;184404;Madrid_40.4_-3.7
5317;Nagara;Bednur, Bidanur;India;13.824;75.034;3;1799;10000;Nagara_13.8_75
5318;Parma;;Italy;44.80266;10.32898;1;1799;33608;Parma_44.8_10.3
5319;Rabat;;Morocco;34.01325;-6.83255;1;1799;43000;Rabat_34_-6.8
5320;Rio de Janeiro;;Brazil;-22.90278;-43.2075;1;1799;43376;Rio de Janeiro_-22.9_-43.2
5321;Srirangapatna;Shrirangapattana, Seringapatam;India;12.417956;76.694687;3;1799;150000;Srirangapatna_12.4_76.7
5322;Aachen;Aix-la-Chapelle;Germany;50.77664;6.08342;1;1800;23000;Aachen_50.8_6.1
5323;Aberdeen;;United Kingdom;57.14369;-2.09814;1;1800;26000;Aberdeen_57.1_-2.1
5324;Abomey-Calavi;;Benin;7.18286;1.99119;1;1800;24000;Abomey-Calavi_7.2_2
5325;Achin;Aceh;Indonesia;5.55;95.316667;3;1800;40000;Achin_5.5_95.3
5326;Acre;;Israel;32.927778;35.081667;2;1800;30000;Acre_32.9_35.1
5327;Adana;;Turkey;37.00167;35.32889;1;1800;30000;Adana_37_35.3
5328;Agra;;India;27.18333;78.01667;1;1800;60000;Agra_27.2_78
5329;Ahmedabad;Asawal;India;23.039568;72.566004;1;1800;89000;Ahmedabad_23_72.6
5330;Aix;;France;43.526304;5.445429;3;1800;20000;Aix_43.5_5.4
5331;Ajmer;;India;26.44976;74.64116;1;1800;23000;Ajmer_26.4_74.6
5332;Akita;;Japan;39.71667;140.11667;1;1800;39000;Akita_39.7_140.1
5333;Albany;New York;United States of America;42.652578;-73.756233;1;1800;5389;Albany_42.7_-73.8
5334;Aleppo;;Syria;36.216667;37.166667;1;1800;72000;Aleppo_36.2_37.2
5335;Algiers;;Algiers;36.7525;3.04197;1;1800;73000;Algiers_36.8_3
5336;Alkalawa;Gobir;Nigeria;9.2833;8.4;3;1800;50000;Alkalawa_9.3_8.4
5337;Almeria;Almería ;Spain;36.83814;-2.45974;1;1800;7200;Almeria_36.8_-2.5
5338;Amarapura;;Myanmar;21.892983;96.05;1;1800;175000;Amarapura_21.9_96
5339;Amiens;;France;49.892;2.299;1;1800;35000;Amiens_49.9_2.3
5340;Amritsar;;India;31.63661;74.87476;1;1800;40000;Amritsar_31.6_74.9
5341;Amsterdam;;Netherlands;52.37403;4.88969;1;1800;195000;Amsterdam_52.4_4.9
5342;Angers;;France;47.46667;-0.55;1;1800;28000;Angers_47.5_-0.6
5343;Ankara;Angora;Turkey;39.91987;32.85427;1;1800;30000;Ankara_39.9_32.9
5344;Anqing;Anking;China;30.50917;117.05056;1;1800;40000;Anqing_30.5_117.1
5345;Antwerp;Antwerpen ;Belgium;51.219217;4.402883;1;1800;53906;Antwerp_51.2_4.4
5346;Arakan;Rakhine;Myanmar;19.810092;93.987842;1;1800;16000;Arakan_19.8_94
5347;Arequipa;;Peru;-16.39889;-71.535;1;1800;26000;Arequipa_-16.4_-71.5
5348;Asyut;;Egypt;27.18096;31.18368;1;1800;25000;Asyut_27.2_31.2
5349;Athens;;Greece;37.97945;23.71622;1;1800;12000;Athens_38_23.7
5350;Augsberg;Ausburg;Germany;48.371444;10.898239;1;1800;28000;Augsberg_48.4_10.9
5351;Aurangabad;;India;19.876165;75.343314;1;1800;30000;Aurangabad_19.9_75.3
5352;Avignon;;France;43.94834;4.80892;1;1800;19000;Avignon_43.9_4.8
5353;Ayacucho;Guamanga, Huamanga;Peru;-13.1615;-74.22154;1;1800;25000;Ayacucho_-13.2_-74.2
5354;Ayvalik;Aivali;Turkey;39.33589;26.71281;1;1800;25000;Ayvalik_39.3_26.7
5355;Baghdad;Bagdad;Iraq;33.34058;44.40088;1;1800;80000;Baghdad_33.3_44.4
5356;Bahawalpur;;Pakistan;29.3956;71.68333;1;1800;25000;Bahawalpur_29.4_71.7
5357;Baltimore;Maryland;United States of America;39.29038;-76.61219;1;1800;26519;Baltimore_39.3_-76.6
5358;Banda;Uttar Pradesh;India;25.4833;80.3333;3;1800;25000;Banda_25.5_80.3
5359;Bandar Seri Begawan;;Brunei;4.890283;114.942217;3;1800;18000;Bandar Seri Begawan_4.9_114.9
